,total time,count,normalized total time,normalized count
Child affect,3.4400000000000004,2,0.011515261068375212,0.006694919225799541
Child gaze,282.08,62,0.9442514076067672,0.20754249599978578
Child gesture,15.08,7,0.050479690962528544,0.023432217290298395
Child prop manipulation,18.240000000000002,15,0.06105766333929182,0.05021189419349656
Child utterance,24.84,25,0.0831508967844303,0.08368649032249427
Conversational turns,326.65999999999997,59,1.0934811571498388,0.19750011716108645
Joint attention,227.83999999999992,32,0.7626851982030834,0.10711870761279266
Mutual gaze,21.139999999999965,21,0.07076529621670104,0.07029665187089518
Non-verbal scaffolding,14.56,7,0.04873901196382066,0.023432217290298395
Parent affect,11.04,6,0.03695595412641346,0.020084757677398625
Parent affective touch,2.4,1,0.008033903070959449,0.0033474596128997705
Parent gaze,278.96,48,0.93380733361452,0.160678061419189
Parent gesture,27.28,8,0.09131869823990575,0.026779676903198164
Parent prop manipulation,2.56,3,0.008569496609023413,0.010042378838699312
Parent utterance,55.2,45,0.18477977063206735,0.15063568258048968
Verbal scaffolding,24.88,15,0.08328479516894628,0.05021189419349656
robot pointing,27.933999999999997,13,0.09350793682674219,0.04351697496769702
robot text,157.002,37,0.5255578541444899,0.1238560056772915
CP,56.95999999999998,17,0.19067129955077086,0.0569068134192961
CPC,84.04000000000003,11,0.2813205058680968,0.03682205574189747
MG,21.139999999999965,21,0.07076529621670104,0.07029665187089518
PC,86.78,19,0.2904925452074421,0.06360173264509564
PCP,98.87999999999997,12,0.3309968065235292,0.04016951535479725
affective,0.84,1,0.0028118660748358074,0.0033474596128997705
affective touch,2.4,1,0.008033903070959449,0.0033474596128997705
child,48.120000000000005,38,0.161079756572737,0.12720346529019128
cognitive,35.68,16,0.11943735898826381,0.05355935380639633
instruction translation,0.68,1,0.002276272536771844,0.0033474596128997705
missing data,5.12,3,0.017138993218046825,0.010042378838699312
other,12.147,8,0.040661591917893515,0.026779676903198164
parent,41.88,33,0.1401916085882424,0.11046616722569243
pick up,18.601,7,0.06226609625954863,0.023432217290298395
point at prop,67.614,25,0.2263351342666051,0.08368649032249427
positive 1,8.04,5,0.026913575287714153,0.016737298064498852
positive 2,6.4399999999999995,3,0.02155763990707452,0.010042378838699312
positive feedback,24.733,10,0.08279271860585002,0.033474596128997704
put down,12.866999999999999,5,0.04307176283918134,0.016737298064498852
song,67.6,1,0.22628826983202446,0.0033474596128997705
tablet,717.4799999999999,88,2.401735323063327,0.2945764459351798
teach,23.733999999999998,9,0.07944860645256314,0.030127136516097934
technical,2.24,4,0.007498309532895487,0.013389838451599082
utterance,77.12,68,0.2581560853468303,0.2276272536771844
Child affect:positive 1,1.6,1,0.0053559353806396336,0.0033474596128997705
Child affect:positive 2,1.84,1,0.006159325687735578,0.0033474596128997705
Child gaze:parent,39.32,30,0.13162211197921897,0.10042378838699312
Child gaze:tablet,242.76,32,0.8126292956275483,0.10711870761279266
Child gesture:other,1.6,2,0.0053559353806396336,0.006694919225799541
Child gesture:point at prop,13.48,5,0.04512375558188891,0.016737298064498852
Child prop manipulation:child,18.240000000000002,15,0.06105766333929182,0.05021189419349656
Child utterance:utterance,24.84,25,0.0831508967844303,0.08368649032249427
Conversational turns:CP,56.95999999999998,17,0.19067129955077086,0.0569068134192961
Conversational turns:CPC,84.04000000000003,11,0.2813205058680968,0.03682205574189747
Conversational turns:PC,86.78,19,0.2904925452074421,0.06360173264509564
Conversational turns:PCP,98.87999999999997,12,0.3309968065235292,0.04016951535479725
Joint attention:tablet,227.83999999999992,32,0.7626851982030834,0.10711870761279266
Mutual gaze:MG,21.139999999999965,21,0.07076529621670104,0.07029665187089518
Non-verbal scaffolding:cognitive,13.48,5,0.04512375558188891,0.016737298064498852
Non-verbal scaffolding:technical,1.08,2,0.0036152563819317526,0.006694919225799541
Parent affect:positive 1,6.4399999999999995,4,0.02155763990707452,0.013389838451599082
Parent affect:positive 2,4.6,2,0.015398314219338944,0.006694919225799541
Parent affective touch:affective touch,2.4,1,0.008033903070959449,0.0033474596128997705
Parent gaze:child,29.880000000000003,23,0.10002209323344516,0.07699157109669473
Parent gaze:missing data,2.2,1,0.007364411148379496,0.0033474596128997705
Parent gaze:tablet,246.88,24,0.8264208292326953,0.0803390307095945
Parent gesture:other,1.08,1,0.0036152563819317526,0.0033474596128997705
Parent gesture:point at prop,26.2,7,0.08770344185797399,0.023432217290298395
Parent prop manipulation:parent,2.56,3,0.008569496609023413,0.010042378838699312
Parent utterance:missing data,2.92,2,0.00977458206966733,0.006694919225799541
Parent utterance:utterance,52.28,43,0.17500518856240002,0.14394076335469014
Verbal scaffolding:affective,0.84,1,0.0028118660748358074,0.0033474596128997705
Verbal scaffolding:cognitive,22.2,11,0.0743136034063749,0.03682205574189747
Verbal scaffolding:instruction translation,0.68,1,0.002276272536771844,0.0033474596128997705
Verbal scaffolding:technical,1.1600000000000001,2,0.003883053150963734,0.006694919225799541
robot pointing:point at prop,27.933999999999997,13,0.09350793682674219,0.04351697496769702
robot text:other,9.467,5,0.03169040015532213,0.016737298064498852
robot text:pick up,18.601,7,0.06226609625954863,0.023432217290298395
robot text:positive feedback,24.733,10,0.08279271860585002,0.033474596128997704
robot text:put down,12.866999999999999,5,0.04307176283918134,0.016737298064498852
robot text:song,67.6,1,0.22628826983202446,0.0033474596128997705
robot text:teach,23.733999999999998,9,0.07944860645256314,0.030127136516097934
