,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 3,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[1, 0.0446755907577405]","[3, 0.014413578991780009]","[5, 0.999998349240221]","[1, 1.0]","[1, 0.1368880195047835]","[1, 0.18068947776619593]","[4, 0.0892417271342024]","[4, 0.0006775274882823698]","[1, 0.45226257927732816]","[1, 1.0]","[2, 0.1573067750012698]","[1, 1.0]","[4, 0.9803607685658717]","[1, 0.5561818197552284]","[5, 0.5154182072002996]","[1, 0.32161596567389755]","[5, 0.5530069865419796]","[4, 0.4926530604995686]","[2, 0.1573067750012698]","[100, 100]","[3, 0.07092676370313394]","[1, 0.09258114969631019]","[2, 0.6228353533044183]","[100, 100]","[3, 0.9999999583585792]","[2, 0.4364540103251878]","[1, 0.3907454672668258]","[3, 0.4396124070806181]","[3, 0.12329685371024016]","[4, 0.21931206529565062]","[4, 0.5672901660041839]","[4, 0.024329972910912576]","[5, 0.8856303864897416]","[4, 0.3961442793488688]","[3, 0.9208201737082158]","[1, 0.6073521651336233]","[5, 0.999998349240221]"
Child gaze:robot,"[1, 0.31256602114165316]","[100, 100]","[2, 1.287597122520332e-15]","[3, 0.05626026076917384]","[5, 0.9997786775968661]","[3, 0.18133473249273382]","[1, 0.09396743772524283]","[5, 0.043266416878742935]","[1, 0.634221949587135]","[2, 0.13945300610148262]","[4, 0.019525660253278374]","[1, 0.02643533718954014]","[2, 0.003805268210539461]","[1, 1.0]","[3, 0.12427360578633116]","[3, 0.0023160311563599867]","[2, 0.0049117888828686986]","[4, 0.016859490879701892]","[1, 0.24836278632618058]","[1, 0.02643533718954014]","[100, 100]","[1, 0.9507063287429971]","[5, 0.1849275353654562]","[4, 0.0019753437266154207]","[100, 100]","[3, 0.9999999118979994]","[4, 0.5850783829328161]","[1, 0.02643533718954014]","[5, 0.3490817817775677]","[5, 0.026788634673783153]","[2, 0.0002485445845266425]","[5, 0.9132064792695548]","[1, 0.459999198808259]","[2, 0.18789287375847902]","[5, 0.019928629138765832]","[3, 0.15835355706691465]","[3, 0.0009436386259731517]","[5, 0.0415650154154575]"
Child gaze:props,"[1, 0.6384133800739085]","[3, 5.791019312676825e-27]","[100, 100]","[4, 1.9145485263554657e-10]","[5, 0.9999886151538919]","[1, 0.36257955205218595]","[2, 0.1957883993969359]","[4, 0.07262728788091034]","[3, 0.13949369014871518]","[4, 0.18957080258976605]","[5, 0.05731910764409076]","[1, 0.29300357215774137]","[1, 0.0014801631872237199]","[4, 0.03462561356178149]","[1, 0.0327921951612755]","[1, 0.032420664514130226]","[3, 0.1422589488739203]","[4, 0.0014877480770337593]","[3, 0.40677913107056607]","[1, 0.29300357215774137]","[100, 100]","[1, 0.0015511817505174015]","[1, 0.29300357215774137]","[5, 0.20501472836916873]","[100, 100]","[3, 0.9999999536933584]","[3, 0.21746998820859703]","[1, 0.2932311484894734]","[1, 0.2332818097249839]","[3, 0.5466340049044689]","[4, 0.09838096916789812]","[1, 0.48618416495241756]","[1, 0.16863100926594976]","[3, 0.4685436979310156]","[5, 0.07232235878099147]","[1, 0.08683743392798958]","[3, 0.06199728099281942]","[1, 2.3404912936942365e-15]"
Child gaze:parent,"[4, 0.33994509330862427]","[4, 0.9999999999992912]","[1, 0.009305152152413737]","[100, 100]","[1, 1.0]","[2, 0.9999939069921907]","[1, 0.9983930536448775]","[1, 0.9940300467710422]","[3, 0.23702807504851242]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 2.4755905371462547e-51]","[2, 0.9999996074644892]","[2, 0.05783944857735052]","[2, 0.0247284577891528]","[1, 0.9959752221419789]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 6.939637037122848e-08]","[100, 100]","[1, 0.9866467925647411]","[1, 6.017520477431195e-13]","[1, 1.0]","[3, 2.2042460404344675e-06]","[1, 1.0]","[1, 1.0]","[1, 0.9979153385537922]","[1, 1.0]","[1, 0.9962977621334015]","[1, 0.9962977621334015]","[4, 0.9999999999971034]","[1, 0.0038824037048105723]","[4, 1.8220279155185683e-84]"
Child affect:positive 3,"[1, 1.0]","[4, 0.024861904437759496]","[4, 0.03284536119615593]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.005348755701173426]","[3, 2.601420722251604e-09]","[1, 1.0]","[5, 1.4643877934678796e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.013785021678801846]","[2, 0.0038279703126118743]","[1, 1.0]","[4, 9.467127307285007e-08]","[5, 1.4643877934678796e-06]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 1.0490962406775328e-08]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.00010367940707645311]","[1, 1.0]"
Child affect:positive 2,"[1, 0.4478274333931265]","[1, 0.32704814880199834]","[3, 0.6235658053641806]","[1, 0.9972174358237696]","[1, 1.0]","[100, 100]","[1, 0.00910315519913896]","[1, 0.997844753546821]","[1, 0.025466451769191555]","[1, 0.1733330340048994]","[4, 0.9997404620734027]","[1, 1.0]","[4, 2.5410831156147307e-05]","[1, 1.0]","[2, 0.5230853552908309]","[5, 0.05977698152971341]","[2, 0.618632637510657]","[5, 0.08814616991807252]","[4, 0.5166592164519077]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.17405077854726184]","[1, 1.0]","[100, 100]","[1, 0.9951791284140931]","[4, 0.9999841032146699]","[1, 1.0]","[2, 0.15642038413686601]","[1, 0.022516433539527588]","[5, 0.5010352728244283]","[4, 0.8651460542761993]","[1, 0.0008133825219786549]","[1, 0.9986634405125223]","[5, 0.5461149768538045]","[2, 0.024185264680709202]","[3, 0.5270199054833473]","[1, 0.9972174358237696]"
Child affect:positive 1,"[4, 0.32584453726757606]","[1, 0.09098831307622973]","[2, 0.013955129717598954]","[3, 0.0029388552151134706]","[1, 1.0]","[1, 0.20249508549151626]","[100, 100]","[1, 0.9981435221653393]","[4, 0.4026942294132737]","[3, 0.7108513627062496]","[1, 1.0]","[3, 0.5436243157813336]","[1, 1.0]","[1, 1.0]","[1, 0.32666030168815785]","[1, 0.13753662485174264]","[2, 0.16732306891077509]","[3, 0.31898199328453025]","[2, 0.0023011301820527784]","[3, 0.5436243157813336]","[100, 100]","[1, 9.84366643070044e-06]","[3, 0.9996520768703218]","[1, 0.09707447347809475]","[100, 100]","[1, 0.9958474104188515]","[1, 0.028032914587021902]","[1, 0.14314441886213064]","[4, 0.08021906465594666]","[1, 0.049517873248528944]","[5, 4.276353953786445e-06]","[1, 0.05228682630572029]","[3, 0.040183853852492145]","[1, 0.9988487203494174]","[1, 0.08479896368855719]","[1, 0.2409729613214586]","[5, 0.37049195935078166]","[3, 0.002938855215113856]"
Child gesture:point at prop,"[4, 0.02926676128156622]","[4, 6.990988120459486e-05]","[2, 0.0002801707629944077]","[1, 0.9940307147275513]","[1, 1.0]","[4, 0.03399897405377072]","[1, 0.9981432609621669]","[100, 100]","[4, 0.9800416634705506]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.05013842472423797]","[5, 0.4337865600727958]","[5, 0.1315302055661607]","[1, 0.9968829386148603]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.9896581937351953]","[1, 1.0]","[4, 0.9675958262554682]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.015305862484381419]","[5, 0.002801111713589951]","[1, 0.9971327359861327]","[5, 0.00016972471485748742]","[2, 0.013775031624649735]","[5, 0.0003279503757676637]","[1, 0.9940307147275513]"
Parent utterance:utterance,"[3, 0.0003772220875883947]","[2, 0.5494356214168334]","[1, 0.06329488450495097]","[4, 0.3513738254086546]","[4, 0.9916670820380467]","[1, 0.466799296792654]","[1, 0.522084280228446]","[5, 0.7312334618137051]","[100, 100]","[5, 0.4160768262907877]","[5, 0.9112363249039906]","[4, 0.13162703501803005]","[5, 0.24357704417675255]","[5, 0.9397851297167203]","[4, 0.778928005836429]","[5, 0.0012879696802535476]","[5, 0.002778124125964188]","[5, 0.17996307179466237]","[5, 0.07057120565681625]","[4, 0.13162703501803005]","[100, 100]","[1, 1.0]","[2, 0.0033944490855532085]","[3, 0.11586534646141534]","[100, 100]","[1, 1.0]","[3, 0.09219405163298922]","[1, 0.40100003284002395]","[5, 0.6292430101585418]","[5, 0.3059304740689785]","[5, 0.44810451325532497]","[2, 0.0034387506640943693]","[3, 0.7494616977003528]","[5, 0.26609640634699055]","[2, 0.6002131060627292]","[1, 0.5008041404938464]","[5, 0.1620949979868022]","[5, 0.9989631953017043]"
Verbal scaffolding:cognitive,"[1, 0.16727461915886294]","[1, 0.3738053343828005]","[1, 0.08895159152487621]","[4, 0.00537090950820817]","[4, 0.9578501987309642]","[3, 0.3454664976386097]","[1, 0.2409729614935342]","[1, 1.0]","[5, 0.3537980560319722]","[100, 100]","[1, 1.0]","[3, 0.004417327904956778]","[1, 1.0]","[1, 1.0]","[4, 0.1908305991167256]","[5, 0.06722330613155297]","[2, 0.1935888896139468]","[3, 0.001095942207606575]","[1, 0.0010491581726996028]","[3, 0.004417327904956778]","[100, 100]","[1, 1.0]","[5, 0.9999998924314776]","[4, 6.600540708428063e-05]","[100, 100]","[1, 1.0]","[3, 6.54482917647923e-05]","[2, 0.08482366186692233]","[1, 0.08080710290695613]","[1, 1.0]","[1, 1.0]","[4, 0.2703301561604498]","[5, 0.39690766639239894]","[4, 0.021438139473910777]","[3, 0.9976986059134798]","[3, 0.9968253480861962]","[4, 0.04096465916257106]","[1, 1.0]"
