,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:missing data,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:other vocalization,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent gaze:missing data,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Joint attention:missing data,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[2, 1.2739777697611196e-06]","[3, 0.00650627602194089]","[100, 100]","[1, 0.9811325154948551]","[5, 0.9999999999999987]","[5, 0.9999999999999347]","[1, 0.012780840557273694]","[4, 0.12461987365655151]","[100, 100]","[100, 100]","[2, 0.5609354945758719]","[1, 0.9876535810299502]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.0038647443499276574]","[5, 0.0003823599737839168]","[4, 0.043573620093389706]","[1, 1.0]","[1, 0.9811325154953552]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.46296635990426604]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.9853896576764342]","[5, 1.3866443809839154e-05]","[3, 1.8588695144354855e-07]","[1, 1.0]","[2, 6.011225523471887e-09]","[2, 1.493950743057955e-05]","[1, 0.9672718126900244]","[4, 1.559509623058257e-16]","[1, 1.0]","[5, 9.095585596688535e-06]","[100, 100]","[1, 1.0]"
Child gaze:robot,"[4, 0.9308474473415865]","[100, 100]","[2, 0.00023756157774886092]","[100, 100]","[3, 0.031129565010857896]","[5, 0.9266180444953931]","[4, 0.9933632328765287]","[2, 0.3913722962249698]","[2, 0.027064453591429612]","[100, 100]","[100, 100]","[4, 0.351743854647115]","[1, 0.00030976463350905665]","[3, 0.16438306508095576]","[4, 0.9944589586239683]","[100, 100]","[2, 0.025506691745719148]","[4, 0.0008221616167025961]","[4, 0.05117612154374153]","[4, 0.9779493633658113]","[5, 0.1317598541972798]","[4, 0.7953426487878973]","[4, 0.9944589586239683]","[100, 100]","[5, 0.2407729948555361]","[1, 1.0]","[3, 0.16532610307911938]","[100, 100]","[100, 100]","[3, 0.16532610307911938]","[1, 0.32668354210335315]","[2, 0.1142924063081831]","[4, 0.0015905300384322083]","[3, 0.15669671906620566]","[1, 0.12054547563849449]","[4, 0.9847648871831293]","[1, 0.9928250528068568]","[1, 0.9876564943741089]","[4, 0.9779492502906543]","[4, 0.012847707269430159]","[1, 0.0008885968957709897]","[100, 100]","[3, 0.15519588974966506]"
Child gaze:props,"[3, 0.21630598019121497]","[4, 2.4850292995542994e-07]","[100, 100]","[100, 100]","[4, 0.023649459107552357]","[4, 0.7201788507182545]","[4, 0.30679764852431735]","[2, 0.295248444010551]","[3, 0.09599936117936334]","[100, 100]","[100, 100]","[1, 0.3614082086370324]","[1, 0.020730639353862886]","[4, 0.30554608288304863]","[5, 0.9999941107564804]","[100, 100]","[4, 0.04341861920087327]","[5, 0.0005716587492471433]","[1, 0.003148802476991837]","[2, 0.843494323199762]","[4, 0.032511697858764836]","[5, 0.05305190372821561]","[5, 0.9999941107564804]","[100, 100]","[1, 0.048437265907682575]","[5, 0.999987710652601]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.1609449140527286]","[1, 0.00471319016153658]","[4, 0.0022975691619165134]","[3, 0.6951799899596323]","[1, 0.1290864799417443]","[3, 0.34632597253625813]","[2, 0.8140805466161867]","[1, 0.9994750732626307]","[3, 0.9979255066192465]","[5, 0.00032643085611913793]","[2, 0.08186502065737891]","[100, 100]","[5, 0.009130026520453742]"
Child gaze:missing data,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gaze:parent,"[1, 0.9811325154923545]","[4, 0.030997967481952413]","[5, 0.09976045493567612]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.10468757543359941]","[5, 0.5764735704921897]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.003438856856709429]","[4, 0.006975564166460377]","[1, 1.0]","[100, 100]","[3, 0.0048059906058407955]","[1, 1.0]","[3, 0.3076842300209373]","[1, 0.9672718126874313]","[1, 1.0]","[4, 0.07728193264658714]","[1, 1.0]","[100, 100]","[4, 0.012216019941478282]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.004669254693663289]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9811325154928546]","[1, 0.9811325154928546]","[1, 0.9672718126874313]","[1, 0.9672718126874313]","[1, 1.0]","[3, 0.06127660015925091]","[100, 100]","[1, 0.973297469346367]"
Child affect:positive 1,"[4, 0.031920686427592465]","[4, 0.9999517030840184]","[1, 0.29577761203378516]","[100, 100]","[1, 1.0]","[100, 100]","[4, 0.9949205116422015]","[2, 0.3184764087330337]","[2, 0.007438356507573594]","[100, 100]","[100, 100]","[1, 0.0031896997062168427]","[2, 0.12038970256958319]","[1, 1.0]","[3, 0.004223463658686359]","[100, 100]","[1, 1.0]","[2, 0.4568205809988991]","[3, 0.20790220769408374]","[1, 1.0]","[5, 0.0001088317575883728]","[2, 0.013119253903151674]","[3, 0.004223463658686359]","[100, 100]","[4, 0.1920572551731885]","[4, 2.226921753375062e-05]","[3, 0.004223463658686359]","[100, 100]","[100, 100]","[3, 0.004223463658686359]","[4, 0.9982007854465855]","[5, 0.008419626678453461]","[2, 0.2613926163815124]","[3, 0.23938687474046785]","[3, 0.09422306832441862]","[4, 0.06841921340864873]","[5, 0.11636412154939166]","[5, 2.0988840853587757e-05]","[4, 8.485100550547903e-06]","[3, 0.5551136801841787]","[1, 0.3061712135854919]","[100, 100]","[1, 1.0]"
Child affect:positive 2,"[4, 4.874803253320712e-10]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.013971782583131517]","[100, 100]","[1, 1.0]","[1, 0.07938751022789212]","[100, 100]","[100, 100]","[3, 0.00043984965283883244]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.00011792584709834128]","[1, 0.011085166380602708]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 2.0517896387411324e-20]","[3, 3.065003175803402e-14]","[100, 100]","[100, 100]","[3, 3.065003175803402e-14]","[4, 0.03465853816896066]","[1, 1.0]","[1, 0.0008581206663936709]","[1, 1.0]","[1, 1.0]","[4, 5.5433704287018004e-08]","[1, 1.0]","[1, 1.0]","[4, 6.007141756118179e-42]","[1, 0.0031896997062168427]","[1, 1.0]","[100, 100]","[1, 1.0]"
Child gesture:point at prop,"[3, 0.9722717539744578]","[5, 0.19084050364010371]","[1, 0.3412229874415252]","[100, 100]","[5, 0.9999182592576192]","[4, 0.6082238215964981]","[5, 0.05376836270845449]","[100, 100]","[4, 0.1456388630594712]","[100, 100]","[100, 100]","[2, 0.43083459638707433]","[1, 0.08854364361071693]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.989962612778372]","[2, 0.527014186453732]","[4, 0.7673182008287784]","[5, 0.9990932909613592]","[3, 0.949019067081171]","[5, 0.09808788241267456]","[1, 1.0]","[100, 100]","[1, 0.0032499073504112953]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[4, 0.0020166701248398324]","[1, 0.043244879478383895]","[3, 0.5523760497204244]","[5, 0.9999910207253078]","[3, 0.01182007477266659]","[3, 0.9722718483116022]","[3, 0.9999999806460076]","[3, 0.9999998978829032]","[3, 0.9999998978829031]","[2, 0.4305791330732225]","[2, 0.6579383568048183]","[100, 100]","[5, 0.9996860416505904]"
Parent utterance:utterance,"[1, 0.003625868253771434]","[1, 0.10526283135057088]","[4, 0.3664748161227537]","[100, 100]","[4, 0.024444117159904015]","[3, 0.02651209779191893]","[3, 0.0714473937036407]","[5, 0.08758757788405047]","[100, 100]","[100, 100]","[100, 100]","[1, 0.3900116669371687]","[3, 0.37813013939899964]","[1, 0.7424358350337636]","[2, 0.0566632568190145]","[100, 100]","[1, 0.04140010118274013]","[1, 0.046171981202721146]","[3, 0.11845689462503771]","[4, 0.9591518161580662]","[3, 0.35697904947421477]","[1, 0.11310591461244456]","[2, 0.0566632568190145]","[100, 100]","[1, 0.021010245114295053]","[4, 0.5815579127204371]","[2, 0.21300014696252528]","[100, 100]","[100, 100]","[2, 0.21300014696252528]","[1, 0.4336245063684381]","[5, 0.11156784559676068]","[1, 0.11565867879101112]","[3, 0.5279815700204333]","[4, 0.7116690562993988]","[1, 0.003625868253771434]","[5, 0.13931830910555612]","[1, 0.011353324254235077]","[1, 0.01230433787351164]","[1, 0.11526119281318087]","[5, 0.4440212522773114]","[100, 100]","[4, 0.02374873733434426]"
Parent utterance:other vocalization,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
