,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gaze:robot or prop,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:other vocalization,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Parent gaze:child,Parent gaze:robot,Parent gaze:missing data,Parent gaze:props,Parent gaze:child child,Parent gaze:robot or prop,Parent affect:positive 3,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[3, 0.0012150434518891531]","[1, 0.9794489156825859]","[100, 100]","[100, 100]","[5, 0.0012862449102811152]","[100, 100]","[100, 100]","[4, 0.09709400212695819]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9931590384462337]","[1, 0.9931590384462337]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9852731143848523]","[1, 0.9978947230947098]","[1, 0.9881470430310249]","[100, 100]","[2, 0.0017571202033589365]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.979448915681752]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9916974116342844]","[1, 0.9901864060799408]","[1, 0.9881470430339172]","[100, 100]","[3, 0.16424857564471199]","[100, 100]","[100, 100]"
Child gaze:robot,"[1, 0.9881548730849058]","[100, 100]","[1, 0.9693649589684508]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9911723165096155]","[1, 0.9911723165096155]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9847050102630021]","[1, 1.0]","[1, 0.9847050102630021]","[100, 100]","[1, 0.9881548730849058]","[100, 100]","[1, 0.00028158911117460495]","[100, 100]","[1, 0.9734823034079968]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9847050102620678]","[1, 0.9847050102620678]","[1, 0.9847050102620678]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]"
Child gaze:parent,"[1, 0.9793943792507765]","[1, 0.9733943343446679]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9846429868104499]","[1, 0.9846429868104499]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9733943343446679]","[1, 1.0]","[1, 0.9733943343446679]","[100, 100]","[1, 0.9793943792507765]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.9538836148915081]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9733943343446679]","[1, 0.9733943343446679]","[1, 0.9733943343446679]","[100, 100]","[1, 0.9861093692233843]","[100, 100]","[100, 100]"
Child gaze:props,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gaze:robot or prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 1,"[1, 6.47478813939791e-05]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 0.10352227446349689]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 1.0743014867420425e-06]","[1, 1.0]","[2, 1.0743014867420425e-06]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]"
Child affect:positive 2,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gesture:point at prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[5, 0.9911292830898876]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[5, 0.1388738055390068]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 0.13896397776401292]","[2, 0.17968405226019182]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.9944412029420306]","[1, 1.0]","[5, 0.9944412029420306]","[100, 100]","[2, 0.04578870028214176]","[100, 100]","[5, 0.9995027300423346]","[100, 100]","[1, 6.137540066622513e-09]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.9944412199048924]","[5, 0.8585336058848301]","[5, 0.36398676395514123]","[100, 100]","[2, 0.2781315663619147]","[100, 100]","[100, 100]"
Parent utterance:other vocalization,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
