,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:child,Parent gaze:robot,Parent gaze:missing data,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:put down,robot text:positive feedback,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[3, 0.9998983449349318]","[1, 1.0]","[1, 0.990947343111961]","[1, 0.07720172284845872]","[4, 0.9968112720154538]","[4, 4.953419568166099e-05]","[5, 0.010091469873952727]","[5, 0.14668079789002797]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.36626668018569675]","[100, 100]","[100, 100]","[2, 0.7079147983405345]","[4, 0.1986066219757804]","[1, 1.0]","[1, 0.012346925097606543]","[4, 0.9968111332331252]","[2, 4.526738531758808e-05]","[5, 0.36626668018569675]","[100, 100]","[100, 100]","[100, 100]","[4, 0.07260274707684598]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.9498077114304339]","[4, 0.7259040009833]","[1, 0.99477762684469]","[5, 0.5318036295838513]","[4, 0.14841634167718853]","[1, 1.0]","[1, 0.990947343111961]"
Child gaze:robot,"[2, 0.4371442906453519]","[100, 100]","[5, 0.5328679696142143]","[1, 4.383427747775411e-09]","[5, 0.4432525749914036]","[5, 0.9881899712286897]","[1, 1.0]","[1, 0.01154831827369856]","[2, 0.3465623544746482]","[4, 0.002063406490763905]","[5, 1.02773350609351e-05]","[100, 100]","[2, 0.017737087865306044]","[100, 100]","[100, 100]","[3, 0.5924252860492636]","[2, 0.17077616124656336]","[3, 0.0009734419038152919]","[5, 0.10577894919346763]","[5, 0.9650604918970226]","[4, 0.252380937418764]","[2, 0.017737087865306044]","[100, 100]","[100, 100]","[100, 100]","[3, 0.2656056300912377]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.9997743305776187]","[5, 0.9992010864207246]","[5, 0.0003048941553673394]","[5, 0.14385702333393124]","[4, 0.14166579089778014]","[5, 0.5328679696142143]","[5, 0.9357213044336335]"
Child gaze:props,"[1, 1.0]","[1, 0.001020789016327234]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.00044870446269897773]","[1, 1.0]","[5, 2.7352739326708194e-30]","[100, 100]","[4, 2.5870458915332704e-09]","[100, 100]","[100, 100]","[5, 0.1911481224597891]","[1, 1.0]","[1, 1.0]","[5, 0.003579443358337508]","[1, 1.0]","[1, 1.0]","[4, 2.5870458915332704e-09]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.0005773180974379047]","[1, 1.0]","[5, 4.996948468817572e-17]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]"
Child gaze:parent,"[4, 0.00015045155411209119]","[2, 0.9998874739681454]","[1, 1.0]","[100, 100]","[1, 0.9850499768453855]","[1, 1.0]","[1, 1.0]","[1, 0.982310069024217]","[5, 2.2597156728636058e-05]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[2, 0.001596550163847021]","[1, 1.0]","[1, 1.0]","[3, 6.225687479606782e-07]","[4, 0.999999207798938]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 3.3669349714045263e-09]","[1, 1.0]","[1, 0.977159911543609]","[4, 1.9133018013118755e-28]","[1, 1.0]","[1, 1.0]","[1, 0.9604182599849371]"
Child affect:positive 1,"[1, 0.9965811823925438]","[4, 0.29714677858793453]","[1, 1.0]","[5, 3.3927502657475034e-13]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.993334355708977]","[3, 0.26750447191750115]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[5, 0.6096283190596183]","[1, 0.07007968838917827]","[1, 1.0]","[1, 0.03975540223886116]","[4, 0.999999984427419]","[4, 0.9999999999998118]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 0.006318349255000197]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.9913933557821654]","[1, 1.0]","[1, 0.05457600479250245]","[1, 1.0]","[1, 1.5024861686943883e-16]"
Child affect:positive 2,"[2, 0.003974892092426585]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.4651066229033766e-11]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 1.8013026840843395e-07]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child affect:positive 3,"[2, 0.0039748920924268715]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.012018311730651505]","[1, 1.0]","[1, 1.0]","[1, 9.746508197872039e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child gesture:point at prop,"[5, 1.1993880471936106e-06]","[2, 0.9999991691538397]","[1, 1.0]","[1, 0.9823446478548311]","[4, 0.004538977851521338]","[2, 0.999994553103043]","[1, 1.0]","[100, 100]","[1, 0.9954462582567849]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[5, 0.668452741436442]","[5, 0.3250786914124712]","[1, 1.0]","[1, 1.0]","[1, 1.4650975995780526e-11]","[4, 0.0014150713035394134]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[4, 0.010662229394869901]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.003415452903964965]","[1, 0.9898144285299119]","[5, 5.53623033013087e-05]","[5, 0.24712102464177116]","[1, 1.0]","[1, 0.9823446478548311]"
Parent utterance:utterance,"[5, 0.3494545538800411]","[3, 0.008441117718478759]","[3, 2.084699865546641e-06]","[1, 0.9898111050018682]","[1, 0.9961529003322155]","[1, 1.0]","[3, 0.0028096307466035247]","[1, 0.018834513589126]","[100, 100]","[1, 1.0]","[5, 0.6699945757171438]","[100, 100]","[4, 0.12290864398584428]","[100, 100]","[100, 100]","[1, 0.005698526509518499]","[5, 0.903688727848307]","[1, 1.0]","[5, 0.011715990042733365]","[4, 5.469500918991372e-06]","[1, 1.2581139049266781e-05]","[4, 0.12290864398584428]","[100, 100]","[100, 100]","[100, 100]","[3, 0.3300698017689135]","[100, 100]","[5, 0.9825525356014677]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.0030755309645373956]","[5, 0.7805533750124374]","[5, 0.7352595571177952]","[5, 0.9966545736739688]","[2, 0.42330324171598643]","[3, 2.084699865546641e-06]","[1, 0.9898111050018682]"
Parent utterance:missing data,"[1, 1.0]","[3, 0.000412857826479629]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.16921536410201882]","[4, 7.560503535236805e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9798485519277569]","[1, 1.0]","[1, 1.0]"
