,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Parent gaze:tablet,Parent gaze:child,Parent gesture:point at prop,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[2, 0.010378164973784073]","[1, 0.9705769799302979]","[100, 100]","[1, 0.10384868066783669]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.7123802549997114]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.024058360154264526]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.11673361579029413]","[3, 0.001517029332331719]","[3, 0.027813070892741015]","[1, 0.9705769799302979]","[5, 8.381146746141644e-08]","[2, 0.010378164973784073]","[100, 100]"
Child gaze:tablet,"[1, 0.026806147265146917]","[100, 100]","[2, 3.065078809671318e-05]","[100, 100]","[1, 0.020590727423852102]","[2, 0.9278098095641437]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.6430450999130779]","[3, 0.8359593829092722]","[100, 100]","[100, 100]","[3, 0.8359593829092722]","[2, 0.6102438009625747]","[2, 0.01728005909689153]","[1, 1.0]","[3, 0.045588079760290584]","[2, 0.0431088760932838]","[3, 0.9134279640854174]","[1, 0.026806147265146917]","[2, 0.9999714544891647]","[3, 0.7332182468994195]","[2, 0.9999999999999937]","[100, 100]"
Child gaze:parent,"[1, 0.9705769799304312]","[3, 4.554601605793099e-05]","[100, 100]","[100, 100]","[1, 0.110790223141225]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9830330151442677]","[2, 0.33372956299941203]","[100, 100]","[100, 100]","[2, 0.33372956299941203]","[2, 0.7286253539944891]","[2, 0.010905446822009376]","[1, 1.0]","[1, 1.0]","[1, 0.9772254630838483]","[1, 0.9705769799304312]","[1, 0.9705769799304312]","[1, 0.9705769799304312]","[1, 0.9488528760749565]","[3, 4.554601605793099e-05]","[100, 100]"
Child gesture:point at prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[4, 0.009270786322618914]","[1, 0.23501668657643873]","[2, 0.25429869955311407]","[100, 100]","[100, 100]","[5, 0.20417257727184768]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.7102563712008142]","[2, 0.14670782106961508]","[100, 100]","[100, 100]","[2, 0.14670782106961508]","[1, 0.27960391221855296]","[1, 1.0]","[1, 1.0]","[5, 0.2866980440355363]","[2, 0.09502936549329877]","[2, 0.09952855745407324]","[2, 0.0037036500628083156]","[2, 0.025700448503456708]","[2, 0.011747021773831648]","[1, 0.23501668657643873]","[100, 100]"
Verbal scaffolding:cognitive,"[1, 1.0]","[4, 0.9841954277415037]","[1, 1.0]","[100, 100]","[4, 0.9951898290937821]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.5027840868423155]","[2, 0.0028594017420223656]","[100, 100]","[100, 100]","[2, 0.0028594017420223656]","[2, 0.16819879498438148]","[1, 1.0]","[1, 1.0]","[5, 3.604115217149443e-06]","[2, 0.11492646625624368]","[4, 0.9744617592193404]","[1, 1.0]","[4, 0.9744597602371377]","[1, 1.0]","[4, 0.9841954277415037]","[100, 100]"
Verbal scaffolding:affective,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Non-verbal scaffolding:cognitive,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent gaze:tablet,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent gaze:child,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent gesture:point at prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child prop manipulation:child,"[1, 0.06476416981832264]","[3, 0.38276819845320137]","[1, 0.9830786187995676]","[100, 100]","[5, 0.017720119392290148]","[3, 0.38279205371671565]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.3608807694728768]","[1, 1.0]","[3, 0.40414229463704976]","[4, 0.36741561917723276]","[5, 0.1112869591588603]","[5, 0.0013177585702702605]","[1, 0.06965300658564895]","[3, 0.06775853761462264]","[4, 8.652606929733754e-05]","[3, 0.38276819845320137]","[100, 100]"
robot pointing:point at prop,"[1, 1.0]","[3, 0.0036711317971557553]","[2, 3.319226841718697e-05]","[100, 100]","[2, 0.14161351103222458]","[2, 0.0028594017420223656]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[2, 1.1604918121968605e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0036711317971557553]","[100, 100]"
robot text:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:song,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:teach,"[1, 1.0]","[3, 0.0036711317971557553]","[2, 3.319226841718697e-05]","[100, 100]","[2, 0.14161351103222458]","[2, 0.0028594017420223656]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[2, 1.1604918121968605e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0036711317971557553]","[100, 100]"
robot text:pick up,"[3, 0.0022725336221349115]","[4, 0.9999997771597101]","[4, 0.9999993989655938]","[100, 100]","[4, 0.21655627308131487]","[2, 0.16819879498438212]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.015543327130087622]","[4, 0.9999999984158808]","[100, 100]","[100, 100]","[4, 0.9999999984158808]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.9999999984158808]","[1, 0.00026279873246123805]","[2, 0.08872328238715577]","[1, 4.0271724249796495e-07]","[1, 0.022443855435264535]","[4, 0.9999886444356363]","[4, 0.9999997771597101]","[100, 100]"
robot text:positive feedback,"[1, 1.0]","[1, 0.002358841272603976]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.3417070975671963]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.002358841272603976]","[100, 100]"
robot text:put down,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.3157930519765819]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]"
robot text:correction,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.023757060222070147]","[3, 0.009005193114871064]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.01495262291295145]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.006016164380798761]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 7.688617517453332e-05]","[2, 0.0002637890172009005]","[3, 2.619016415793025e-10]","[1, 1.0]","[1, 1.0]","[100, 100]"
robot text:try again,"[1, 0.01245452051702798]","[1, 0.9824007115945621]","[1, 0.9772622459656076]","[100, 100]","[2, 0.4491080074282139]","[4, 0.25477265448360564]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 0.13569026820116958]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.9967354612223425]","[1, 1.0]","[1, 0.9941394661407504]","[1, 0.002358764036058606]","[100, 100]","[1, 0.015877958208008167]","[1, 0.9627091535278723]","[4, 0.0952982827310279]","[1, 0.9604673388039568]","[1, 0.9824007115945621]","[100, 100]"
Conversational turns:PC,"[3, 1.3720884232248543e-07]","[2, 0.01037799706593635]","[1, 0.9705769799301646]","[100, 100]","[3, 0.09210913917128111]","[1, 0.9911431464165793]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9884769271186992]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.024058360154264526]","[1, 1.0]","[1, 1.0]","[5, 7.688617517453332e-05]","[3, 0.028960011470421668]","[100, 100]","[3, 0.000992696919643694]","[1, 0.9792135333714351]","[1, 0.9583142609269142]","[2, 0.01037799706593635]","[100, 100]"
Conversational turns:CP,"[1, 0.9792135333714351]","[1, 0.977225463083676]","[1, 0.9705769799301646]","[100, 100]","[2, 0.003661793874083179]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.03503113916567968]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.9928759611419159]","[1, 1.0]","[1, 1.0]","[3, 0.9999987361772905]","[1, 0.955540884272025]","[1, 0.9705769799301646]","[100, 100]","[1, 0.9868605841849104]","[1, 0.9488528760750331]","[1, 0.977225463083676]","[100, 100]"
Conversational turns:PCP,"[1, 0.9705769799301646]","[1, 0.977225463083676]","[1, 0.9705769799301646]","[100, 100]","[2, 0.0015606883982719666]","[1, 0.991143146416136]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.03503113916567993]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.9928759611419159]","[1, 1.0]","[1, 1.0]","[5, 0.007167737516842486]","[1, 0.9685373550452394]","[1, 0.9792135333714351]","[1, 0.9868605841852092]","[100, 100]","[1, 0.9488528760750331]","[1, 0.977225463083676]","[100, 100]"
Conversational turns:CPC,"[100, 100]","[2, 2.0805649663164893e-05]","[1, 0.9484341911433865]","[100, 100]","[3, 0.0022526300372850802]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9702555555217708]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.00024241168573661885]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.00017008237152095113]","[3, 0.9995769375481077]","[3, 2.1830051405793533e-09]","[1, 0.9484341911435014]","[100, 100]","[2, 2.0805649663164893e-05]","[100, 100]"
Joint attention:tablet,"[1, 0.015877958208007997]","[1, 1.0]","[2, 0.012589802583015864]","[100, 100]","[1, 0.011096802827582387]","[3, 0.9626365563478791]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.5877865871691454]","[3, 0.8929039125366053]","[100, 100]","[100, 100]","[3, 0.8929039125366053]","[3, 0.9692384510170075]","[2, 0.010378389914238817]","[1, 1.0]","[3, 0.022729406072639596]","[2, 0.02260564992325633]","[3, 0.8925179024121721]","[1, 0.015877958208007997]","[1, 0.9772622459654008]","[3, 0.6506882377080434]","[100, 100]","[100, 100]"
Mutual gaze:MG,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
